FAZ00	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
6216	5721	5798	5875	5953	6030	6107	6184	6261	6339	6416	6493	6553	6612	6672	6732	6792	6851	6911	6971	7030	7090	7381	7672	7963	8254	8545	8836	9127	9418	9709	10000
6223	4842	4948	5054	5159	5265	5371	5477	5583	5688	5794	5900	6087	6274	6462	6649	6836	7023	7210	7398	7585	7772	7608	7444	7280	7116	6952	6788	6624	6460	6296	6132
6224	3331	3444	3557	3670	3783	3896	4009	4122	4235	4348	4461	4581	4701	4821	4941	5062	5182	5302	5422	5542	5662	5737	5812	5888	5963	6038	6113	6188	6264	6339	6414
6225	10485	10778	11072	11365	11658	11952	12245	12538	12831	13125	13418	13507	13597	13686	13776	13865	13954	14044	14133	14223	14312	14244	14177	14109	14042	13974	13906	13839	13771	13704	13636
6226	2749	2879	3010	3140	3271	3401	3531	3662	3792	3923	4053	4260	4467	4675	4882	5089	5296	5503	5711	5918	6125	6087	6049	6011	5973	5935	5896	5858	5820	5782	5744
6316	12047	12249	12451	12652	12854	13056	13258	13460	13661	13863	14065	14143	14220	14298	14376	14454	14531	14609	14687	14764	14842	14989	15136	15283	15430	15578	15725	15872	16019	16166	16313
6325	3953	4016	4078	4141	4203	4266	4328	4391	4453	4516	4578	4741	4904	5067	5230	5393	5555	5718	5881	6044	6207	6222	6236	6251	6266	6281	6295	6310	6325	6339	6354
6326	6479	6719	6958	7198	7438	7678	7917	8157	8397	8636	8876	9049	9221	9394	9567	9740	9912	10085	10258	10430	10603	10466	10329	10192	10055	9918	9780	9643	9506	9369	9232
6410	9476	9673	9869	10066	10263	10460	10656	10853	11050	11246	11443	11628	11813	11998	12183	12368	12552	12737	12922	13107	13292	13242	13191	13141	13090	13040	12990	12939	12889	12838	12788
6420	5824	6096	6368	6639	6911	7183	7455	7727	7998	8270	8542	8386	8230	8074	7918	7762	7606	7450	7294	7138	6982	7102	7222	7343	7463	7583	7703	7823	7944	8064	8184
6505	772	773	773	774	774	775	775	776	776	777	777	861	946	1030	1115	1199	1283	1368	1452	1537	1621	1803	1985	2166	2348	2530	2712	2894	3075	3257	3439
