faz_id	population_2000	population_2010	population_2020	population_2025	population_2030	population_2035	population_2040
1505.0	17772.0	19387.0	21621.0	22294.0	22641.0	23008.0	23388.0
1330.0	20482.0	21992.0	23067.0	24197.0	24553.0	24525.0	24515.0
1000.0	9072.0	8982.0	9842.0	10130.0	10397.0	10494.0	10501.0
1320.0	17449.0	17110.0	18399.0	18414.0	18445.0	18340.0	18100.0
1420.0	10741.0	12076.0	12627.0	12857.0	13940.0	16338.0	20535.0
1130.0	4101.0	3989.0	5599.0	6300.0	6745.0	6991.0	7305.0
1116.0	13422.0	13585.0	18212.0	18893.0	19628.0	20078.0	20497.0
1310.0	24103.0	25649.0	28079.0	28438.0	28652.0	28530.0	28210.0
805.0	16583.0	19414.0	22464.0	24372.0	25821.0	26749.0	27709.0
1115.0	9079.0	11361.0	14271.0	16501.0	18187.0	18841.0	19008.0
205.0	12168.0	12611.0	13305.0	13377.0	13485.0	13491.0	13559.0
136.0	11052.0	10216.0	11340.0	11491.0	11623.0	11771.0	11729.0
1120.0	26989.0	29843.0	34626.0	37235.0	39443.0	41606.0	43787.0
705.0	14288.0	18866.0	19664.0	21847.0	23746.0	28413.0	34405.0
120.0	10805.0	10457.0	11789.0	12238.0	12817.0	13106.0	13290.0
325.0	19023.0	23558.0	24719.0	25825.0	26954.0	27318.0	27486.0
135.0	14443.0	15211.0	17075.0	17607.0	17949.0	18072.0	17973.0
706.0	11558.0	12201.0	13215.0	14301.0	15568.0	16885.0	17875.0
206.0	12072.0	12266.0	13711.0	13821.0	13947.0	13839.0	13787.0
2910.0	1642.0	3377.0	3623.0	3912.0	4226.0	4641.0	5523.0
315.0	13152.0	13701.0	15029.0	15227.0	15644.0	16011.0	16036.0
2935.0	16906.0	11043.0	10748.0	10641.0	10525.0	10372.0	10235.0
605.0	18507.0	20403.0	23650.0	25700.0	27941.0	29309.0	30513.0
606.0	13823.0	19694.0	23506.0	27386.0	30321.0	32911.0	35050.0
506.0	15332.0	23764.0	26992.0	29513.0	31909.0	35027.0	40289.0
110.0	4742.0	4699.0	5003.0	5064.0	5132.0	5160.0	5454.0
505.0	27198.0	44700.0	48700.0	54437.0	60247.0	65084.0	70517.0
2936.0	2149.0	8171.0	7982.0	8281.0	8445.0	8577.0	9018.0
405.0	18235.0	22862.0	26502.0	29777.0	32441.0	34447.0	36287.0
2926.0	23025.0	25267.0	25844.0	26457.0	27659.0	28981.0	30201.0
2925.0	12603.0	15561.0	16136.0	16969.0	18629.0	21858.0	25581.0
2927.0	5094.0	6276.0	7129.0	8325.0	10384.0	13853.0	19281.0
